country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq
,,,,6.,"LORD PIT(FR), 7 val","69,0",Adrien Merienne,13,,4,,
,,,"2772 PRIX HENRI VERAN
Proutky - - 4000 m, handicap, 4letí a starší
34.000 EUR (15300 - 7480 - 4420 - 3060 - 1700 - 1190 - 850)
Zápisné: 0 + 0 EUR",7.,"ACHOUR(FR), 11 val","68,0",Damien Thomas,20,,1,,
,,,,1.,"DAYS DREAM(FR), 6 kl","68,0",Raphael Mayeur,JISTĚ,,9,,
,,,,2.,"OSAXA(FR), 7 kl","67,0",Lucas Vandamme,2 1/2,,5,,
,,,,3.,"INDIANA ROQUE(FR), 4 kl A 1/2","69,0",Dylan Ubeda,krk,,11,,
,,,,4.,"HAUT DE FORME(FR), 5 val A 1/2","68,0",Teddy Vabois,2,,4,,
,,,,5.,"ON YOUR MARKS(GB), 5 val","69,0",Lucas Zuliani,14,,10,,
,,,,6.,"GREAT FEELING(FR), 4 val","68,5",Nathan Howie,7,,2,,
,,,,7.,"MARVELLA D`ESTREL(FR), 5 kl","67,5",Alexandre Seigneul,20,,6,,
,2021,Výsledky ze dne 23.12.2021 - Deauville (Francie),"2674 PRIX DES ESTAMPES JAPONAISES
Rovina c4 - 1900 m, handicap, 3letí a starší
14.000 EUR (7000 - 2800 - 2100 - 1400 - 700)
Zápisné: 0 + 0 EUR",Z,"VOLUNTEERS(FR), 6 val","69,5",ž. Josef Bartoš,,,8,Váňa ml. Josef,
,,,,1.,"KEA(GB), 5","58,5",Laura Grosso,JISTĚ,,2,,
,,,,2.,"BEAMA(FR), 8 kl","57,5",Ebbe Verhestraeten,3/4,,3,,
,,,,3.,"ANONYME(FR), 5","55,0",Hugo Journiac,1 1/4,,15,,
,,,,4.,"AL RASSOUL(FR), 6 val","57,5",ž. Theo Bachelot,hlava,,8,,
,,,"2675 PRIX DU PONT JAPONAIS
Rovina c3 - 1900 m, handicap, 3letí a starší
16.000 EUR (8000 - 3200 - 2400 - 1600 - 800)
Zápisné: 0 + 0 EUR",5.,"SIGLO DE ORO(IRE), 6 hř","56,0",ž. Vendula Korečková,1 1/4,,9,Janáčková Koplíková Ingrid,
,,,,1.,"MAN OR(FR), 4","56,5",Axel Baron,JISTĚ,,12,,
,,,,2.,"CHUBASCO(FR), 4 val","58,5",Aude Duporte,1 1/4,,1,,
,,,,3.,"BERING PALACE(FR), 4 val","58,5",Jeremie Monteiro,krk,,5,,
,,,,4.,"MANG`SEKO(FR), 4 kl","59,5",ž. Gerald Mossé,kr.hlava,,2,,
,,,,5.,"VALENTINO(FR), 5","58,5",Jules Mobian,kr.hlava,,7,,
,,,"2676 PRIX DU CHEMIN DES DOUANIERS
Rovina M - 2500 m, cena, 3letí
22.000 EUR (11000 - 4400 - 3300 - 2200 - 1100)
Zápisné: 0 + 0 EUR",12.,"ANOASTER(FR), 4 kl","57,0",ž. Vendula Korečková,,,9,Janáčková Koplíková Ingrid,
,,,,1.,"ROYAL RIGHT(IRE), 3 hř","56,5",ž. Vendula Korečková,JISTĚ,,3,Janáčková Koplíková Ingrid,
,,,,2.,"MANZANO(FR), 3 val","54,5",Zoe Rives,1,,10,,
,,,,3.,"SILVERSTONE(FR), 3","56,5",Jules Mobian,1,,6,,
,,,,4.,"DIVA DONNA(FR), 3","56,5",Thomas Trullier,2 1/2,,12,,
,,,,5.,"ALPINO(FR), 3","56,5",Aude Duporte,krk,,1,,
,,,"2677 PRIX DE L`ATELIER DES NYMPHEAS
Rovina c3 - 1900 m, handicap, 3letí a starší
25.000 EUR (12500 - 4750 - 3500 - 2000 - 1000 - 750 - 500)
Zápisné: 0 + 0 EUR",8.,"PERSIAN PRINCE(GB), 3 hř","58,0",Gregory Benoist,,,4,Luka Václav,
,,,,1.,"RONALDO(GER), 7 hř","58,5",ž. Gerald Mossé,LEHCE,,6,,
,,,,2.,"JUSSIFER(FR), 4","55,5",ž. Theo Bachelot,2,,16,,
,,,,3.,"IDEAL KING(FR), 4 val","58,5",Delphine Santiago,krk,,1,Luka Václav,
,,,,4.,"AGAPI MIA(FR), 5 kl","60,0",Tony Piccone,krk,,2,,
,,,,5.,"FRENCHY(FR), 4","56,0",Hugo Besnier,1 1/2,,14,,
,,,,6.,"ILLOGIC(FR), 5","60,0",ž. Anthony Crastus,hlava,,3,,
,2020,Výsledky ze dne 30.12.2020 - Cagnes-sur-mer (Francie),"2495 PRIX DE LA PICARDIE
Proutky - - 4000 m, handicap, 4letí a starší
80.000 EUR (36000 - 17600 - 10400 - 7200 - 4000 - 2800 - 2000)
Zápisné: 0 + 0 EUR",7.,"KIAZ APAPA(FR), 4 val","59,0",ž. Aurelien Lemaitre,krk,,4,,
,,,,1.,"STERNKRANZ(GER), 6 val","66,0",ž. Josef Bartoš,LEHCE,,10,Váňa ml. Josef,
,,,,2.,"BRIC(FR), 5 val","66,0",Maxime Lefebvre,2 1/2,,7,,
,,,,3.,"CIRANO DE PAIL(FR), 7 val","64,0",Ludovic Philipperon,1 1/4,,13,,
,,,,4.,"INTRINSEQUE(FR), 8 val","67,0",Thomas Beaurain,4 1/2,,6,,
,,,,5.,"CELTIOR(FR), 8 val","70,0",Paul Moreau,3 1/2,,2,,
,,,,6.,"BUCK`S BAHKBOOK(FR), 6 kl","69,0",Thomas Stromboni,3,,3,,
,,,"2496 PRIX DE LA BOURGOGNE
Proutky - - 4000 m, handicap, 4letí a starší
45.000 EUR (20250 - 9900 - 5850 - 4050 - 2250 - 1575 - 1125)
Zápisné: 0 + 0 EUR",7.,"ASTARA DE LUNE(FR), 8 kl","64,5",Morgan Regairaz,7,,12,,
,,,,1.,"GALOUSKA(FR), 5 kl","64,5",Florian Girard,LEHCE,,6,,
,,,,2.,"NURMI(GER), 7 val","65,5",am. Davide Satalia,4,,5,,
,,,,3.,"EDITORIAL(FR), 5 val","67,0",Maxime Lefebvre,hlava,,9,,
,,,,4.,"DAVANTI SAN GUIDO(FR), 5 val","67,0",Maximilien Farcinade,9,,8,,
,,,,5.,"TOMGARRY(FR), 7 val","68,0",Nathaniel Curtis,krk,,2,,
,,,,6.,"UN AMOUR DE RISK(FR), 6 val","66,0",Thomas Stromboni,1/2,,10,,
