country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq,results.pages.page1.raceDateTitle,results.pages.page1.tables.tableTitle,results.pages.page1.tables.tableRows.poř.,results.pages.page1.tables.tableRows.jméno koně,results.pages.page1.tables.tableRows.váha,results.pages.page1.tables.tableRows.jezdec,results.pages.page1.tables.tableRows.výrok,results.pages.page1.tables.tableRows.čas,results.pages.page1.tables.tableRows.st.č.,results.pages.page1.tables.tableRows.trenér,results.pages.page1.tables.tableRows.evq
,,,,2.,"WHISPERS AND SIGHS(FR), 6 kl","60,5",ž. Róbert Šara,3/4,,6,Brečka Jaroslav,43,,,,,,,,,,,
,,,,3.,"MORAVA(SVK), 4 kl","52,0",am. Mário Sprušanský,1 3/4,,5,Dohnálek Roman,134,,,,,,,,,,,
,,,,4.,"VIVA FRITZ(SVK), 4 kl","55,5",Ferdinand Kráner,hlava,,8,Sokol Samuel,37,,,,,,,,,,,
,,,,5.,"LUCKYNAV(IRE), 7 hř","60,0",am. Adam Šebesta,1 1/2,,1,Šebesta L`udovít,207,,,,,,,,,,,
,,,,6.,"RODICK(IRE), 4 hř","55,5",žk. Martina Dušková,11,,2,Štangel Marián,120,,,,,,,,,,,
,,,,7.,"CLONES(SVK), 7 kl","54,5",Veronika Weinbachová,2 1/4,,4,Sokol Samuel,207,,,,,,,,,,,
,,,"7013 Memoriál Josefa Břečku
Rovina II.kat. - 1400 m, handicap, 4letí a starší
4.000 EUR (1800 - 880 - 560 - 360 - 240 - 160)
Zápisné: 0 + 0 EUR",8.,"KAINA(IRE), 4 kl","55,0",ž. Monir Madihi,16,,3,Hanáček Jaroslav,108,,,,,,,,,,,
,,,,1.,"LITTLE LORD(GER), 4 val","60,0",Sofie Kvízová,BOJ,,2,Holčák Radek,50,,,,,,,,,,,
,,,,2.,"PASAREI(GER), 5 kl","57,5",ž. Jiří Palík,krk,,5,Kubovičová Zuzana,62,,,,,,,,,,,
,,,,3.,"SUMMER CITY(FR), 6 hř","57,0",ž. Adam Florian,2,,6,Berthier Kateřina,50,,,,,,,,,,,
,,,,4.,"SHOSANNA(IRE), 4 kl","54,0",ž. Jiřina Andrésová,krk,,4,Záhorová Eva,92,,,,,,,,,,,
,,,,5.,"MAXIMUM RISK(IRE), 6 val","58,5",ž. Petr Foret,nos,,7,Brečka Jaroslav,56,,,,,,,,,,,
,,,,6.,"PATRICIUS(IRE), 6 hř","58,5",Petra Zedková,1 1/2,,8,Štangel Marián,71,,,,,,,,,,,
,,,,7.,"CALAH(IRE), 4 hř","55,5",žk. Tomáš Roman,3,,1,Štangel Marián,41,,,,,,,,,,,
,,,"7014 26. Veľká aprílová cena Respect Slovakia
Rovina I.kat. - 1800 m, cena, 4letí a starší
7.000 EUR (3150 - 1540 - 980 - 630 - 420 - 280)
Zápisné: 0 + 0 EUR",8.,"LA POME DE LA ROSE(GB), 4 kl","57,0",ž. Ján Havlík,3,,3,Línek Jaroslav,48,,,,,,,,,,,
,,,,1.,"BLUE RIVER(SVK), 4 kl","57,0",ž. Adam Florian,TUHÝ BOJ,,2,Línek Jaroslav,79,,,,,,,,,,,
,,,,2.,"MANATAN(FR), 4 hř","60,0",ž. Jiří Palík,hlava,,4,Kubovičová Zuzana,77,,,,,,,,,,,
,,,,3.,"AIGLE VAILLANT(FR), 5 val","60,0",ž. Martin Laube,kr.hlava,,6,Urbánek Luboš,36,,,,,,,,,,,
,,,,4.,"MYTHICAL THOR(IRE), 4 hř","57,0",ž. Monir Madihi,1,,8,Hanáček Jaroslav,97,,,,,,,,,,,
,,,,5.,"FREE FOLIE(IRE), 4 kl","58,5",ž. Petr Foret,1 3/4,,7,Štangel Marián,27,,,,,,,,,,,
,,,,6.,"SHINING SKY(FR), 4 kl","58,0",ž. David Liška,1 1/2,,1,Demo Michal,144,,,,,,,,,,,
,,,,7.,"QUESSIGNY(FR), 5 hř","58,5",ž. Jaroslav Línek,3/4,,5,Línek Jaroslav,32,,,,,,,,,,,
,,,"7015 Cena Symbola
Rovina III.kat. - 1800 m, cena, 3letí
3.000 EUR (1350 - 660 - 420 - 270 - 180 - 120)
Zápisné: 0 + 0 EUR",8.,"PERSISTENCOFMEMORY(IRE), 4 kl","55,5",Ferdinand Kráner,2 1/2,,3,Chodúr Jozef,178,,,,,,,,,,,
,,,,1.,"MERINO(GER), 3 hř","58,0",ž. David Liška,ZADRŽENĚ,,2,Wroblewski Grzegorz,142,,,,,,,,,,,
,,,,2.,"MISTER SLOVAKIA(IRE), 3 hř","55,5",Ferdinand Kráner,10,,4,Chodúr Jozef,103,,,,,,,,,,,
,,,,3.,"WILD SHEEP(IRE), 3 kl","55,5",ž. Ján Havlík,2 3/4,,7,Holčák Radek,30,,,,,,,,,,,
,,,,4.,"BURSTAR(IRE), 3 hř","57,0",ž. Peter Hodáň,nos,,3,Kubovičová Zuzana,97,,,,,,,,,,,
