country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq,results.pages.page1.raceDateTitle,results.pages.page1.tables.tableTitle,results.pages.page1.tables.tableRows.poř.,results.pages.page1.tables.tableRows.jméno koně,results.pages.page1.tables.tableRows.váha,results.pages.page1.tables.tableRows.jezdec,results.pages.page1.tables.tableRows.výrok,results.pages.page1.tables.tableRows.čas,results.pages.page1.tables.tableRows.st.č.,results.pages.page1.tables.tableRows.trenér,results.pages.page1.tables.tableRows.evq
,,,,,,,,,,,,,,,12.,"GREEN VALLEYS, 6 val","56,0",Veronika Weinbachová,13,,12,Kubliha Ladislav,
,,,,,,,,,,,,,,"7154 Cena Quissisany
Rovina I.kat. - 2000 m, cena, 3letí a starší - klisny
7.000 EUR (3500 - 1610 - 1050 - 490 - 350)
Zápisné: 0 + 0 EUR",13.,"JADE(SVK), 3 kl","54,5",ž. Zuzana Vokálková,daleko,,11,Šebesta L`udovít,
,,,,,,,,,,,,,,,1.,"FIORHEAD, 4 kl","59,5",ž. Zdenko Šmida,BOJ,,9,Sokol Samuel,
,,,,,,,,,,,,,,,2.,"ESTINAAD(USA), 5 kl","59,5",ž. Ján Havlík,1/2,,4,Kubovičová Zuzana,
,,,,,,,,,,,,,,,3.,"LUST, 6 kl","61,0",Beysim Ferhanov,1/2,,6,Holčák František,
,,,,,,,,,,,,,,,4.,"WAAYA(IRE), 3 kl","57,5",ž. Zuzana Vokálková,2 3/4,,10,Cagáň Ján,
,,,,,,,,,,,,,,,5.,"DIANA ROSENSTURM, 4 kl","59,5",ž. Jaroslav Línek,1/2,,7,Stančík Miroslav,
,,,,,,,,,,,,,,,6.,"TRIXI(SVK), 3 kl","57,5",ž. Martin Srnec,krk,,3,Hanáček Jaroslav,
,,,,,,,,,,,,,,,7.,"MINI WELLS(IRE), 4 kl","58,0",ž. Jakub Pavlíček,krk,,8,Hlavenka Peter,
,,,,,,,,,,,,,,,8.,"YARA, 3 kl","57,5",Jiřina Andrésová,2 1/4,,2,Blecha Jan,
,,,,,,,,,,,,,,,9.,"YUCCA(IRE), 7 kl","58,0",ž. Róbert Šara,6,,5,Hlavenka Peter,
,,,,,,,,,,,,,,"7155 Cena Lancastera
Steeplechase - - 3800 m, cena, 4letí a starší
2.400 EUR (1200 - 600 - 360 - 240)
Zápisné: 0 + 0 EUR",10.,"OUR DUCHESS(IRE), 4 kl","58,0",ž. Michal Abík,1 3/4,,1,Holčák František,
,,,,,,,,,,,,,,,1.,"CHESTION(POL), 7 hř","71,0",ž. Jaroslav Brečka,BOJ,,2,Brečka Jaroslav,
,,,,,,,,,,,,,,,2.,"IZOP(IRE), 8 hř","67,5",Petr Tůma,1,,4,Hlavenka Peter,
,,,,,,,,,,,,,,,3.,"RUSSELL, 6 hř","66,5",Adam Čmiel,hlava,,1,Brečka Jaroslav,
,,,,,,,,,,,,,,"7156 Handicap Nagara
Rovina IV.kat. - 2400 m, handicap, 3letí a starší
2.000 EUR (1000 - 460 - 300 - 140 - 100)
Zápisné: 0 + 0 EUR",PN,"TWIST DANCER, 8 hř","69,5",Sertash Ferhanov,,,3,Hanáček Jaroslav,
,,,,,,,,,,,,,,,1.,"LILFAST(IRE), 3 hř","63,0",ž. Jaroslav Línek,LEHCE,,2,Hlavenka Peter,
,,,,,,,,,,,,,,,2.,"DON CARLINO(POL), 10 hř","62,5",Beysim Ferhanov,3 3/4,,3,Bigus Stefan,
,,,,,,,,,,,,,,,3.,"FILEALANGLAISE(FR), 4 kl","59,0",ž. Ján Havlík,5,,1,Valachovič Oto,
,,,,,,,,,,,,,,,4.,"FERMI(SVK), 4 hř","60,5",ž. Jakub Pavlíček,1,,7,Ročák Michal,
,,,,,,,,,,,,,,,5.,"MY GREY LADY, 4 kl","54,5",ž. Peter Hodáň,1/2,,5,Lehocký Jozef,
,,,,,,,,,,,,,,,6.,"MONTEBELLO(FR), 7 hř","60,5",ž. Zdenko Šmida,2 1/2,,4,Martin Gérard,
,,,,,,,,,,,,,,,7.,"KISAYA(GER), 4 kl","55,0",žk. Adam Florian,1/2,,12,Lehocký Jozef,
,,,,,,,,,,,,,,,8.,"PULP FICTION(SVK), 3 hř","53,0",ž. Michal Abík,3,,9,Végh Ludovít,
,,,,,,,,,,,,,,,9.,"HARLEQUINA, 7 kl","59,0",ž. Róbert Šara,3/4,,8,Brečka Jaroslav,
,,,,,,,,,,,,,,,10.,"KANTON(POL), 3 hř","49,5",Veronika Weinbachová,2 1/4,,13,Kalaš Pavel,
,,,,,,,,,,,,,,,11.,"BORSA SCHARM(SVK), 4 kl","53,0",ž. Zuzana Vokálková,1,,6,Kubovičová Zuzana,
,,,,,,,,,,,,,,,12.,"SPARROW, 4 val","51,0","am. Tereza Grbavčicová, Mgr.",daleko,,14,Seménka Zdeněk,
,,,,,,,,,,,,,,,13.,"TATTOO(AUT), 4 val","55,0",žk. Jozef Čekal,5,,10,Kroutilík Jaroslav,
,2014,Výsledky ze dne 26.10.2014 - Bratislava (Slovensko),"7153 Cena Rainbow Dasha
Rovina IV.kat. - 1200 m, cena, 2letí
1.700 EUR (850 - 390 - 255 - 120 - 85)
Zápisné: 0 + 0 EUR",1.,"JARIKO(POL), 2 val","57,5",ž. Jakub Pavlíček,JISTĚ,,1,Bartoš st. Josef,,,,DD,"RED GIANT(AUT), 4 hř","50,5",Jiřina Andrésová,daleko,,11,Gérard Martin,
,,,,2.,"BUBBLE GUN(IRE), 2 kl","58,0",Jozef Parigál,3/4,,10,Benner János,,,,,,,,,,,,
,,,,3.,"ODYSSEY OF GRACIE(IRE), 2 hř","57,5",ž. Štefan Budovič,2,,3,Kousek Jiří,,,,,,,,,,,,
,,,,4.,"KALANISIA(IRE), 2 kl","58,0",ž. Tomáš Lukášek,1 1/2,,4,Vocásková Helena,,,,,,,,,,,,
,,,,5.,"MALINKA MOJA(GB), 2 kl","54,0",Michal Abík,1,,5,Stančík Miroslav,,,,,,,,,,,,
,,,,6.,"MISS BAHAMIAN(IRE), 2 kl","55,0",ž. Róbert Šara,1 1/2,,2,Hlavenka Peter,,,,,,,,,,,,
,,,,7.,"PARDONIE, 2 kl","55,0",ž. Zuzana Vokálková,1/2,,9,Berthier Kateřina,,,,,,,,,,,,
,,,,8.,"VALOROUS INFLUENCE(SVK), 2 hř","57,5",ž. František Drozda,1 1/4,,7,Mihalík Marcel,,,,,,,,,,,,
,,,,9.,"DULNEGA, 2 hř","56,0",ž. Peter Hodáň,10,,11,Tůma Pavel,,,,,,,,,,,,
,,,"7154 Cena ThermalKesov, s.r.o.
Rovina IV.kat. - 2400 m, handicap, 3letí a starší
1.800 EUR (900 - 450 - 270 - 180)
Zápisné: 0 + 0 EUR",10.,"ASCHENTI(SVK), 2 hř","58,0",ž. Jaroslav Línek,13,,6,Grupáčová Zuzana,,,,,,,,,,,,
,,,,1.,"SALALAH, 3 kl","62,5",am. Andrea Broszová,LEHCE,,3,Hanáček Jaroslav,,,,,,,,,,,,
,,,,2.,"FERMI(SVK), 3 hř","52,0",Michal Abík,1 1/4,,1,Ročák Michal,,,,,,,,,,,,
,,,,3.,"WINDY STAR(SVK), 5 kl","57,5",ž. Štefan Budovič,krk,,5,Kubovičová Zuzana,,,,,,,,,,,,
,,,,4.,"DZANGELA(POL), 5 kl","52,0",ž. Zdenko Šmida,kr.hlava,,2,Grupáčová Zuzana,,,,,,,,,,,,
,,,,5.,"VISION DREAM(AUT), 3 kl","56,0",ž. Tomáš Lukášek,1/2,,7,Ročák Michal,,,,,,,,,,,,
,,,,6.,"ROUSSEAU(POL), 3 hř","63,0",ž. Jaroslav Línek,krk,,4,Kalaš Pavel,,,,,,,,,,,,
,,,"7155 Cena PD Mojmírovce
Rovina II.kat. - 1200 m, cena, 3letí a starší
3.300 EUR (1650 - 825 - 495 - 330)
Zápisné: 0 + 0 EUR",7.,"AUENFELS(GER), 3 hř","56,5",ž. Róbert Šara,1/2,,6,Sokol Samuel,,,,,,,,,,,,
,,,,1.,"INVISIBLE BID(GB), 4 kl","58,0",ž. František Drozda,LEHCE,,4,Kubovičová Zuzana,,,,,,,,,,,,
,,,,2.,"PALETA, 7 kl","56,0",Michal Abík,3,,5,Berthier Kateřina,,,,,,,,,,,,
,,,,3.,"APRILIUS(IRE), 6 hř","58,0",ž. Jaroslav Línek,1/2,,2,Havlíčková Zdena,,,,,,,,,,,,
,,,,4.,"DABIANGO(GER), 4 hř","61,5",ž. Tomáš Lukášek,krk,,1,Stančík Miroslav,,,,,,,,,,,,
,,,"7156 Cena K-K Metal, a.s.
Rovina III.kat. - 1700 m, handicap, 3letí a starší
2.400 EUR (1200 - 550 - 360 - 170 - 120)
Zápisné: 0 + 0 EUR",5.,"VLASTNOST, 5 kl","56,0",ž. Zdenko Šmida,20,,6,Mimra Zdeněk,,,,,,,,,,,,
,,,,1.,"DANCING MELODY, 5 kl","58,0",Michal Abík,JISTĚ,,7,Héč Karel,,,,,,,,,,,,
,,,,2.,"SAMOOL(GER), 6 hř","56,5",ž. Zdenko Šmida,1 1/2,,3,Sokol Samuel,,,,,,,,,,,,
,,,,3.,"SAJGON(POL), 5 hř","60,0",ž. Zuzana Vokálková,3/4,,2,Kalaš Pavel,,,,,,,,,,,,
,,,,4.,"TENO(POL), 4 hř","64,0",Jozef Parigál,3/4,,4,Rosival Jozef,,,,,,,,,,,,
,,,,5.,"DAKOTA MONTANA(IRE), 4 kl","64,5",ž. Róbert Šara,8,,5,Hlavenka Peter,,,,,,,,,,,,
,,,,6.,"LILLIFEE(GER), 8 kl","54,0",ž. Peter Hodáň,6,,8,Hlavenka Peter,,,,,,,,,,,,
,,,"7157 Cena grófa Jozefa Huňadyho
Rovina II.kat. - 1700 m, cena, 2letí
3.000 EUR (1500 - 690 - 450 - 210 - 150)
Zápisné: 0 + 0 EUR",7.,"APINOA, 8 kl","63,0",ž. Jaroslav Línek,4 3/4,,6,Váňová Hana,,,,,,,,,,,,
,,,,1.,"DR COLOKID, 2 kl","56,0",Michal Abík,TUHÝ BOJ,,6,Hanáček Jaroslav,,,,,,,,,,,,
,,,,2.,"WAAYA(IRE), 2 kl","56,0",ž. Zuzana Vokálková,hlava,,2,Cagáň Ján,,,,,,,,,,,,
,,,,3.,"KOPRETINA, 2 kl","56,0",Gerlinde Mühlbichler,kr.hlava,,9,Piruch Jozef,,,,,,,,,,,,
,,,,4.,"CARRY THE GLORY, 2 kl","57,5",ž. Jakub Pavlíček,2,,7,Bartoš st. Josef,,,,,,,,,,,,
,,,,5.,"KANTON(POL), 2 hř","57,0",ž. Zdenko Šmida,2 1/4,,1,Kalaš Pavel,,,,,,,,,,,,
,,,,6.,"TIMOTEJ(IRE), 2 hř","57,0",ž. Tomáš Lukášek,3/4,,5,Hanáček Jaroslav,,,,,,,,,,,,
,,,,7.,"MACHISIMO SECRETO, 2 hř","57,0",ž. Róbert Šara,krk,,3,Brečka Jaroslav,,,,,,,,,,,,
,,,,8.,"NINJA(FR), 2 hř","57,0",Jozef Parigál,1 1/4,,8,Rosival Jozef,,,,,,,,,,,,
,,,"7158 Velká októbrová cena - Cena Mojmíroviec-Urmína
Rovina I.kat. - 2000 m, cena, 3letí a starší
6.400 EUR (3200 - 1470 - 960 - 450 - 320)
Zápisné: 0 + 0 EUR",9.,"ASAKO(SVK), 2 hř","58,0",ž. Jaroslav Línek,18,,4,Grupáčová Zuzana,,,,,,,,,,,,
,,,,1.,"SULMAN(SVK), 3 hř","58,5",ž. Tomáš Lukášek,V. LEHCE,,6,Ročák Michal,,,,,,,,,,,,
,,,,2.,"COUNT OF TUSCANY(USA), 8 val","61,0",ž. Jaroslav Línek,5,,5,Stančík Miroslav,,,,,,,,,,,,
,,,,3.,"INNOVATOR(GER), 7 hř","62,5",ž. František Drozda,5,,9,Kubovičová Zuzana,,,,,,,,,,,,
,,,,4.,"RENESSIE, 3 kl","57,0",Gerlinde Mühlbichler,2 1/4,,7,Piruch Jozef,,,,,,,,,,,,
,,,,5.,"STINGER(GER*), 6 val","59,5",ž. Jakub Pavlíček,1/2,,8,Holčák František,,,,,,,,,,,,
,,,,6.,"YUCCA(IRE), 6 kl","59,5",ž. Róbert Šara,5,,4,Hlavenka Peter,,,,,,,,,,,,
,,,,7.,"NOEM, 7 hř","59,5",ž. Zuzana Vokálková,1 1/4,,2,Tomková Kristína,,,,,,,,,,,,
,,,"7159 Cena Pittsburgha
Proutky - - 3600 m, cena, 4letí a starší
2.200 EUR (1100 - 550 - 330 - 220)
Zápisné: 0 + 0 EUR",Z,"MOVE YOUR VISION(IRE), 5 hř","61,0",ž. Zdenko Šmida,,,1,Kubovičová Zuzana,,,,,,,,,,,,
,,,,1.,"BLACK WHIPPET(FR), 6 val","66,0",Vladimír Verner,ZADRŽENĚ,,2,Ročák Michal,,,,,,,,,,,,
,,,,2.,"RAIMOND(GER), 7 hř","68,0",ž. Lukáš Matuský,5,,3,Brečka Jaroslav,,,,,,,,,,,,
,,,,3.,"ARTEUS(FR), 4 val","67,0",ž. Martin Cagáň,18,,5,Cagáň Ján,,,,,,,,,,,,
,,,,4.,"RUSSELL, 5 hř","69,0",ž. Jaroslav Brečka,6,,4,Brečka Jaroslav,,,,,,,,,,,,
,,,"7160 Rozlůčkový handicap HAMÉ Slovakia, spol.s r.o.
Rovina V.kat. - 1800 m, handicap, 3letí a starší
1.300 EUR (650 - 325 - 195 - 130)
Zápisné: 0 + 0 EUR",5.,"MAKTUM(IRE), 7 hř","68,0",Jozef Ralbovský,2,,1,Grupáčová Zuzana,,,,,,,,,,,,
,,,,1.,"SEGONA, 3 kl","52,0",Michal Abík,V. LEHCE,,3,Hanáček Jaroslav,,,,,,,,,,,,
,,,,2.,"KISAYA(GER), 3 kl","53,5",ž. Peter Hodáň,10,,1,Lehocký Jozef,,,,,,,,,,,,
,,,,3.,"BARKA, 4 kl","53,0",ž. Katarina Barboríková,krk,,7,Kubliha Ladislav,,,,,,,,,,,,
,,,,4.,"BORSA SCHARM(SVK), 3 kl","62,5",ž. Zuzana Vokálková,4 1/4,,6,Kubovičová Zuzana,,,,,,,,,,,,
,,,,5.,"CONNERY(GER), 6 hř","64,0",ž. Róbert Šara,4 1/4,,4,Végh Ludovít,,,,,,,,,,,,
,,,,6.,"HOLLY TÄNZER(SVK), 3 val","61,5",ž. Tomáš Lukášek,11,,2,Kubovičová Zuzana,,,,,,,,,,,,
,,,,7.,"MY BEAUTY(GER), 4 kl","62,0",ž. Jaroslav Línek,20,,5,Dohnálek Roman,,Výsledky ze dne 19.10.2014 - Bratislava (Slovensko),"7145 Cena Red Stream
Rovina IV.kat. - 1000 m, cena, 3letí a starší
1.800 EUR (900 - 415 - 270 - 125 - 90)
Zápisné: 0 + 0 EUR",1.,"GOLDEN GRACE(SVK), 3 kl","60,0",Michal Abík,JISTĚ,,3,Ročák Michal,
,,,,,,,,,,,,,,,2.,"SAMANTHA FOR LOVE(GB), 5 kl","60,0",Josef Borč,1 1/2,,1,Valachovič Oto,
,,,,,,,,,,,,,,,3.,"GUARDIOLA, 4 kl","54,5",am. Ivona Hladíková,1,,4,Stančík Miroslav,
,,,,,,,,,,,,,,,4.,"TALLSTEP(IRE), 3 hř","64,0",ž. Róbert Šara,2,,8,Hlavenka Peter,
,,,,,,,,,,,,,,,5.,"SAGOYA(GER), 5 kl","58,0",ž. Dušan Andrés,5,,5,Dohnálek Roman,
,,,,,,,,,,,,,,,6.,"SARNIA(IRE), 10 kl","60,5",ž. Štefan Budovič,3/4,,2,Lehocký Jozef,
,,,,,,,,,,,,,,,7.,"SANTINO, 4 val","56,0",žk. Jozef Čekal,nos,,6,Váňová Hana,
,,,,,,,,,,,,,,"7146 Dunajský pohár amatérov
Rovina IV.kat. - 1800 m, cena, 3letí a starší
1.800 EUR (900 - 415 - 270 - 125 - 90)
Zápisné: 0 + 0 EUR",8.,"REBELLI YELL(SVK), 6 kl","56,0",žk. Angelika Tulisová,7,,7,Grupáčová Zuzana,
,,,,,,,,,,,,,,,1.,"SAMOOL(GER), 6 hř","64,0",am. Carolin Stummer,JISTĚ,,10,Sokol Samuel,
,,,,,,,,,,,,,,,2.,"DANCING MELODY, 5 kl","61,5",am. Hana Juránková,1 1/2,,8,Héč Karel,
,,,,,,,,,,,,,,,3.,"VAN DAMME(SVK), 4 val","64,0",am. Béla Juszel,2 1/2,,3,Mihalík Marcel,
,,,,,,,,,,,,,,,4.,"GREEN VALLEYS, 5 val","63,0",am. Andrea Broszová,3 3/4,,9,Kubliha Ladislav,
,,,,,,,,,,,,,,,5.,"SPARROW, 3 val","59,0",am. Tereza Dlapová,krk,,2,Seménka Zdeněk,
,,,,,,,,,,,,,,,6.,"SISI WIND(SVK), 3 kl","57,5",am. Michala Kucháriková,1 1/2,,11,Stančík Miroslav,
,,,,,,,,,,,,,,,7.,"TATTOO(AUT), 3 hř","59,0",am. Ivana Hrubšová,1 1/2,,5,Kroutilík Jaroslav,
,,,,,,,,,,,,,,,8.,"APINOA, 8 kl","62,5",am. Ivona Hladíková,3/4,,7,Váňová Hana,
,,,,,,,,,,,,,,,9.,"SADBA, 4 kl","62,5",am. Zsanett Toronyi,5,,1,Váňová Hana,
,,,,,,,,,,,,,,,10.,"NOXI BOY(HUN), 5 val","62,0",am. Andreas Schorn,1 3/4,,4,Koller Sabrina,
,,,,,,,,,,,,,,"7147 Cena Call Me Xely
Proutky - - 3200 m, cena, 4letí a starší
1.600 EUR (800 - 370 - 240 - 110 - 80)
Zápisné: 0 + 0 EUR",11.,"GAYIRIN, 10 val","63,0",am. Pavel Složil ml.,17,,6,Hanáček Pavel,
,,,,,,,,,,,,,,,1.,"SARAS(FR), 4 val","63,5",Jan Kratochvíl,BOJ,,5,Holčák Radek,
,,,,,,,,,,,,,,,2.,"FERACLOS(FR), 4 val","65,5",Josef Borč,1,,6,Tůma Pavel,
,,,,,,,,,,,,,,,3.,"PERGÖTÜZ(HUN), 6 val","68,5",Miroslav Stančík,12,,8,Hanáček Jaroslav,
,,,,,,,,,,,,,,,4.,"HARLEQUINA, 6 kl","68,0",ž. Jaroslav Brečka,4 1/2,,4,Brečka Jaroslav,
,,,,,,,,,,,,,,,5.,"HOT FAVORITE(FR), 4 val","66,0",ž. Pavel Kašný,6,,1,Holčák František,
,,,,,,,,,,,,,,,6.,"ČALUKI(SLO), 8 hř","68,0",ž. Martin Cagáň,daleko,,2,Cagáň Ján,
,,,,,,,,,,,,,,,7.,"RED MISSION(GB), 5 hř","68,0",ž. Dušan Andrés,2,,7,Hanáček Jaroslav,
,,,,,,,,,,,,,,"7148 Cena Plemenárskys služieb SR, š.p.
Rovina III.kat. - 1400 m, handicap, 3letí a starší
2.400 EUR (1200 - 600 - 360 - 240)
Zápisné: 0 + 0 EUR",Z,"SORENT, 6 val","67,5",žk. Jakub Spáčil,,,3,Ministr Antonín,
,,,,,,,,,,,,,,,1.,"GENY BEY(IRE), 6 kl","57,0",ž. Štefan Budovič,JISTĚ,,1,Lehocký Jozef,
,,,,,,,,,,,,,,,2.,"SAJGON(POL), 5 hř","60,5",žk. Jakub Spáčil,1 3/4,,3,Kalaš Pavel,
,,,,,,,,,,,,,,,3.,"MUFFIN PRINCESS(IRE), 3 kl","61,5",žk. Jozef Čekal,1 1/4,,2,Hlavenka Peter,
,,,,,,,,,,,,,,,4.,"NIGHT SWEET(IRE), 4 kl","56,0",Marie Trnková,1,,4,Holčák František,
,,,,,,,,,,,,,,,5.,"CADUKE(IRE), 4 kl","59,5",ž. Róbert Šara,1 3/4,,6,Hlavenka Peter,
,,,,,,,,,,,,,,"7149 Memoriál Adolfa a Richarda Weissovcov
Rovina III.kat. - 1600 m, cena, 2letí
2.500 EUR (1250 - 625 - 375 - 250)
Zápisné: 0 + 0 EUR",6.,"QUICK DART(SVK), 4 hř","57,5",Michal Abík,1 1/2,,5,Stančík Miroslav,
,,,,,,,,,,,,,,,1.,"ROMANETTA, 2 kl","53,5",Michal Abík,V. LEHCE,,6,Kalaš Pavel,
,,,,,,,,,,,,,,,2.,"TIKARAM, 2 hř","57,0",ž. Róbert Šara,3 3/4,,2,Brečka Jaroslav,
,,,,,,,,,,,,,,,3.,"MASSAYA(SVK), 2 kl","58,0",ž. Dušan Andrés,6,,5,Heleši Roman,
,,,,,,,,,,,,,,,4.,"ASAKO(SVK), 2 hř","55,0",Josef Borč,17,,4,Grupáčová Zuzana,
,,,,,,,,,,,,,,"7150 Memoriál RNDr. Juraja Gressnera
Rovina II.kat. - 1800 m, cena, 3letí a starší
3.300 EUR (1650 - 825 - 495 - 330)
Zápisné: 0 + 0 EUR",5.,"TENERIFE(SVK), 2 kl","53,5",Marie Trnková,2,,1,Kubovičová Zuzana,
,,,,,,,,,,,,,,,1.,"THUNDERBALL(FR), 5 val","59,5",Michal Abík,LEHCE,,4,Ročák Michal,
,,,,,,,,,,,,,,,2.,"WUELTO(SVK), 4 hř","59,5",ž. Štefan Budovič,2 1/4,,6,Kubovičová Zuzana,
,,,,,,,,,,,,,,,3.,"RHEINGOLDRING(GER), 4 hř","61,5",ž. Dušan Andrés,3,,5,Kubovičová Zuzana,
,,,,,,,,,,,,,,,4.,"WANDUKE(IRE), 4 hř","59,5",žk. Jozef Čekal,krk,,1,Hlavenka Peter,
,,,,,,,,,,,,,,,5.,"MENY BAY(IRE), 4 kl","58,0",ž. Róbert Šara,1 1/2,,2,Hlavenka Peter,
,,,,,,,,,,,,,,"7151 Cena Vovesa - Cena Plemenárskych služieb SR, š.p.
Steeplechase - - 3800 m, cena, 4letí a starší
2.100 EUR (1050 - 525 - 315 - 210)
Zápisné: 0 + 0 EUR",6.,"FILEALANGLAISE(FR), 3 kl","61,5",Josef Borč,2 1/4,,3,Valachovič Oto,
,,,,,,,,,,,,,,,1.,"CHESTION(POL), 6 hř","67,0",Miroslav Stančík,ZADRŽENĚ,,3,Stančík Miroslav,
,,,,,,,,,,,,,,,2.,"STEFAN, 6 val","67,0",Jan Kratochvíl,19,,1,Holčák Radek,
,,,,,,,,,,,,,,,3.,"GREEN FLASH(ITY), 6 kl","68,0",ž. Martin Cagáň,4 1/2,,2,Cagáň Ján,
,,,,,,,,,,,,,,,4.,"SHERSON, 7 val","67,0",Jan Derych,daleko,,6,Derych Vladimír,
,,,,,,,,,,,,,,,PN,"BODYGUARD(POL), 8 hř","69,5",ž. Jaroslav Brečka,,,7,Ročák Michal,
,,,,,,,,,,,,,,"7152 Cena Dekenta
Rovina IV.kat. - 3300 m, cena, 3letí a starší
1.800 EUR (900 - 415 - 270 - 125 - 90)
Zápisné: 0 + 0 EUR",Z,"DOBRY-POCZATEK(POL), 5 hř","67,0",Josef Borč,,,5,Seménka Zdeněk,
,,,,,,,,,,,,,,,1.,"PROUD BORIS(GER), 10 hř","67,0",ž. Dušan Andrés,TUHÝ BOJ,,7,Hanáček Jaroslav,
,,,,,,,,,,,,,,,2.,"TAMAREI(IRE), 5 kl","65,0",žk. Jozef Čekal,nos,,10,Hlavenka Peter,
,,,,,,,,,,,,,,,3.,"MR ANGEL(IRE), 5 hř","67,0",ž. Róbert Šara,5,,2,Hlavenka Peter,
,,,,,,,,,,,,,,,4.,"REBEKA(HUN), 3 kl","62,0",Michal Abík,1/2,,8,Morávková Jaroslava,
,,,,,,,,,,,,,,,5.,"STINGA, 5 kl","67,0",Jan Kratochvíl,4 1/2,,3,Holčák Radek,
,,,,,,,,,,,,,,,6.,"RYANICA, 3 kl","60,5",ž. Štefan Budovič,1 1/4,,9,Hanáček Jaroslav,
,,,,,,,,,,,,,,,7.,"VIKÁRKA, 3 kl","58,0",Josef Borč,19,,11,Kovačík František,
,,,,,,,,,,,,,,,8.,"RAIMOND(GER), 7 hř","66,0",am. Jaroslav Brečka ml.,nos,,6,Brečka Jaroslav,
,,,,,,,,,,,,,,,9.,"GIORDANO(POL), 3 hř","58,5",žk. Jakub Spáčil,daleko,,1,Kalaš Pavel,
,2013,Výsledky ze dne 27.10.2013 - Bratislava (Slovensko),"7142 Cena Rainbow Dasha
Rovina IV.kat. - 1200 m, cena, 2letí
1.600 EUR (800 - 370 - 240 - 110 - 80)
Zápisné: 0 + 0 EUR",1.,"FIORHEAD, 2 kl","55,0",ž. Róbert Šara,JISTĚ,,6,Sokol Samuel,,,,ZN,"BARKA, 4 kl","63,0",Jan Derych,,,4,Kubliha Ladislav,
,,,,2.,"MUFFIN PRINCESS(IRE), 2 kl","55,0",ž. Peter Hodáň,1 1/2,,2,Hlavenka Peter,,,,,,,,,,,,
,,,,3.,"SALIENT OF GRACIE, 2 hř","57,5",ž. Ján Havlík,1/2,,4,Juránek Petr,,,,,,,,,,,,
,,,,4.,"MY GREY LADY, 2 kl","56,5",ž. Zdenko Šmida,4 1/4,,3,Hanáček Jaroslav,,,,,,,,,,,,
,,,,5.,"VIOLLET(SVK), 2 kl","56,5",ž. František Drozda,6,,8,Šebesta L`udovít,,,,,,,,,,,,
,,,,6.,"SEGONA, 2 kl","52,5",Lucia Urbaničová,10,,5,Hanáček Jaroslav,,,,,,,,,,,,
,,,"7143 Dunajský pohár amatérů Rakousko-Maďarsko-Slovensko
Rovina IV.kat. - 1800 m, cena, 3letí a starší
1.700 EUR (850 - 390 - 255 - 120 - 85)
Zápisné: 0 + 0 EUR",7.,"REBEKA(HUN), 2 kl","55,0",ž. Gerlinde Mühlbichler,1 3/4,,7,Lehocký Jozef,,,,,,,,,,,,
,,,,1.,"SAMOOL(GER), 5 hř","63,5",am. Carolin Stummer,JISTĚ,,8,Sokol Samuel,,,,,,,,,,,,
,,,,2.,"LIMONCELLO(GER), 7 hř","63,5",am. Michala Kucháriková,1 3/4,,5,Lehocký Jozef,,,,,,,,,,,,
,,,,3.,"SADBA, 3 kl","58,5",am. Ivona Hladíková,7,,7,Bodlák Radim,,,,,,,,,,,,
,,,,4.,"PRINCE HENRY(AUT), 5 val","61,5",am. Manuela Slamanig,hlava,,9,Kroutilík Jaroslav,,,,,,,,,,,,
,,,,5.,"STORM OF GRACIE(USA), 6 val","62,5",am. Zsanett Toronyi,8,,3,Vízdalová Marta,,,,,,,,,,,,
,,,,6.,"COX ORION(GB), 6 hř","60,5",am. Pavlína Petríková,1 1/2,,6,Hlavenka Peter,,,,,,,,,,,,
,,,,7.,"VAIT, 5 val","60,5",am. Ingrida Jávorková,10,,1,Mocek Květoslav,,,,,,,,,,,,
,,,,8.,"CASINO BAA, 4 val","60,5",am. Barbora Zsilková,2,,4,Hanáček Pavel,,,,,,,,,,,,
,,,,9.,"PEPEJEAN(SVK), 6 val","60,5",am. Nicole Waidacher,1,,10,Bodlák Radim,,,,,,,,,,,,
,,,"7144 Cena Dancing Theatre
Rovina II.kat. - 1700 m, cena, 2letí
2.800 EUR (1400 - 645 - 420 - 195 - 140)
Zápisné: 0 + 0 EUR",10.,"DENICES MOONLIGHT(GB), 5 hř","61,0",am. Béla Juszel,daleko,,2,Hlavenka Peter,,,,,,,,,,,,
,,,,1.,"STAR(GER), 2 hř","57,0",ž. Zuzana Vokálková,JISTĚ,,6,Kubovičová Zuzana,,,,,,,,,,,,
,,,,2.,"FUJARA(GB), 2 kl","58,0",ž. Zdenko Šmida,1 3/4,,10,Vocásková Helena,,,,,,,,,,,,
,,,,3.,"KEY TO PARIS(GER), 2 val","58,0",ž. Jaroslav Línek,krk,,7,Rosival Jozef,,,,,,,,,,,,
